ticker,ret_5d_%,ret_1mo_%,ret_3mo_%,last_close,last_date
ADI,-4.39,-2.59,27.26,404.62,2026-06-09
AMAT,1.87,14.79,44.51,499.21,2026-06-09
AMD,-8.83,4.46,133.97,475.5,2026-06-09
ARM,-19.33,52.32,169.48,324.86,2026-06-09
ASML,4.25,11.67,28.79,1777.77,2026-06-09
AVGO,-18.57,-8.8,14.71,392.16,2026-06-09
BIL,0.08,0.29,0.88,91.46,2026-06-09
BTCUSD,-3.38,-19.68,-11.85,61643.78,2026-06-09
COHR,-16.62,6.17,36.56,355.94,2026-06-09
DXY,0.86,1.83,1.23,100.05,2026-06-08
EFA,-2.02,-1.02,3.71,102.9,2026-06-09
ENTG,-6.0,-9.9,15.03,134.35,2026-06-09
GFS,-11.04,1.54,61.4,75.26,2026-06-09
GLD,-5.14,-9.91,-18.22,390.78,2026-06-09
INTC,-0.01,-13.61,130.7,107.92,2026-06-09
IWM,-2.28,0.3,12.7,285.02,2026-06-09
KLAC,4.6,14.6,47.43,2139.37,2026-06-09
LRCX,-2.17,11.26,52.0,327.16,2026-06-09
MCHP,-5.66,-7.23,40.71,91.47,2026-06-09
MPWR,-5.72,-4.3,45.39,1531.98,2026-06-09
MRVL,-8.22,56.87,186.19,266.88,2026-06-09
MU,-12.05,25.32,132.26,935.89,2026-06-09
NVDA,-6.46,-3.14,12.81,208.19,2026-06-09
NXPI,-8.1,0.9,47.25,297.41,2026-06-09
ON,-9.05,13.37,96.34,117.0,2026-06-09
QCOM,-14.39,-5.89,52.5,205.42,2026-06-09
QQQ,-5.14,-0.48,16.61,707.83,2026-06-09
QRVO,-4.67,8.19,25.29,97.94,2026-06-09
RSPT,-8.93,5.69,32.8,61.46,2026-06-09
SMH,-6.52,4.32,48.75,591.01,2026-06-09
SOXX,-7.09,8.04,66.02,562.14,2026-06-09
SPY,-2.96,-0.08,9.14,737.05,2026-06-09
SWKS,-7.03,11.11,35.08,73.56,2026-06-09
TER,-5.96,2.66,22.8,369.21,2026-06-09
TLT,-0.62,-0.73,-2.45,85.12,2026-06-09
TNX_10Y_YIELD,1.64,3.76,9.48,4.53,2026-06-09
TSM,-4.2,3.94,23.64,427.92,2026-06-09
TXN,-6.33,0.29,46.91,288.63,2026-06-09
VIX,26.0,8.11,-22.08,19.87,2026-06-09
XLB,-1.46,-1.59,2.24,50.77,2026-06-09
XLC,-1.84,-4.67,-4.72,111.48,2026-06-09
XLE,-0.98,3.03,3.89,57.39,2026-06-09
XLF,1.94,2.38,5.33,52.46,2026-06-09
XLI,0.81,1.39,3.57,175.6,2026-06-09
XLK,-8.8,2.99,29.5,180.77,2026-06-09
XLP,2.77,-0.1,-1.34,84.1,2026-06-09
XLRE,3.4,1.26,5.48,44.97,2026-06-09
XLU,0.18,-1.65,-4.88,43.98,2026-06-09
XLV,5.58,7.72,1.34,154.57,2026-06-09
XLY,-1.46,-3.6,1.45,115.87,2026-06-09
